City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Sarakhs,IR,36.5449,61.1577,64.54,94,5,2.3,clear sky
301,Nador,MA,35.174,-2.9287,59.25,88,0,2.3,clear sky
302,Ukiah,US,39.1502,-123.2078,85.89,16,0,8.05,clear sky
303,Kedainiai,LT,55.2883,23.9747,37.87,62,100,5.79,overcast clouds
304,Evanston,US,42.0411,-87.6901,55.72,74,75,8.05,broken clouds
305,Kadrina,EE,59.3347,26.145,32.65,66,100,5.39,overcast clouds
306,Akdepe,TM,42.0551,59.3788,62.69,71,95,6.96,overcast clouds
307,Lethem,GY,3.3803,-59.7968,77.14,77,100,4.27,overcast clouds
308,Bima,ID,-8.4667,118.7167,84.2,73,80,4.45,broken clouds
309,Merthyr Tydfil,GB,51.7479,-3.3778,49.28,88,20,4.5,few clouds
310,Cartagena,CO,10.3997,-75.5144,83.82,79,40,8.05,scattered clouds
311,Kazerun,IR,29.6195,51.6541,71.65,25,10,4.34,clear sky
312,Shambu,ET,9.5667,37.1,54.05,60,16,4.34,few clouds
313,Paranapanema,BR,-23.3886,-48.7228,54.23,81,0,7.14,clear sky
314,Mosquera,CO,4.7059,-74.2302,55.49,82,75,4.61,broken clouds
315,Golyshmanovo,RU,56.3979,68.3728,45.05,50,0,6.44,clear sky
316,Saint-Louis,SN,16.3333,-15.0,80.24,36,8,10.94,clear sky
317,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.76,100,100,8.05,mist
318,North Bend,US,43.4065,-124.2243,66.24,86,0,8.05,clear sky
319,Port Hardy,CA,50.6996,-127.4199,46.58,87,100,10.36,light rain
320,Muroto,JP,33.2833,134.15,65.73,61,100,4.14,overcast clouds
321,Saint-Joseph,RE,-21.3667,55.6167,73.78,84,23,14.72,light rain
322,Zhaotong,CN,27.3167,103.7167,60.42,62,100,3.13,overcast clouds
323,Trairi,BR,-3.2778,-39.2689,76.6,89,98,7.65,overcast clouds
324,Pocone,BR,-16.2567,-56.6228,64.33,44,7,4.92,clear sky
325,Denpasar,ID,-8.65,115.2167,82.06,88,20,8.05,few clouds
326,Avera,US,33.194,-82.5271,80.65,76,84,6.2,broken clouds
327,Half Moon Bay,US,37.4636,-122.4286,85.53,76,40,18.41,mist
328,Tunggol,PH,5.8446,121.1544,83.55,74,93,6.2,overcast clouds
329,Yaqui,MX,27.3667,-110.1667,84.76,30,0,8.14,clear sky
330,Comarapa,BO,-17.9,-64.4833,51.39,93,42,1.92,scattered clouds
331,Porto Novo,BJ,6.4965,2.6036,75.02,90,100,3.33,overcast clouds
332,Acapulco,MX,16.8634,-99.8901,82.22,74,75,12.66,broken clouds
333,Byron Bay,AU,-28.65,153.6167,76.95,72,63,10.76,broken clouds
334,Codrington,AU,-38.2667,141.9667,53.46,63,84,6.6,broken clouds
335,Cabra,ES,37.4725,-4.4421,53.83,80,35,2.21,scattered clouds
336,Vardo,NO,70.3705,31.1107,28.0,63,95,9.01,overcast clouds
337,Gangakher,IN,18.95,76.75,87.04,22,1,5.93,clear sky
338,Celestun,MX,20.8667,-90.4,81.57,77,4,19.15,clear sky
339,Tendukheda,IN,23.4,79.55,86.68,19,0,7.4,clear sky
340,Paragominas,BR,-2.9667,-47.4833,72.88,97,100,2.66,overcast clouds
341,Padang,ID,-0.9492,100.3543,81.59,72,73,1.25,broken clouds
342,Itarema,BR,-2.9248,-39.9167,76.71,88,75,9.82,broken clouds
343,Rocha,UY,-34.4833,-54.3333,52.56,93,0,4.14,clear sky
344,Tamale,GH,9.4008,-0.8393,78.35,77,100,14.29,overcast clouds
345,Richards Bay,ZA,-28.783,32.0377,64.2,93,0,3.22,clear sky
